
102700,103163.84,23.63,Sensor
102700,103112.09,23.47,Sensor2
102700,103163.84,23.63,Sensor
102700,103111.77,23.47,Sensor2
102700,103163.68,23.63,Sensor
102700,103111.59,23.47,Sensor2
102700,103163.52,23.63,Sensor
102700,103111.43,23.47,Sensor2
102700,103163.52,23.63,Sensor
102700,103111.43,23.47,Sensor2
102700,103163.34,23.63,Sensor
102700,103111.43,23.47,Sensor2
102700,103163.34,23.63,Sensor
102700,103111.59,23.47,Sensor2
102700,103163.34,23.63,Sensor
102700,103111.59,23.47,Sensor2
102700,103163.52,23.63,Sensor
102700,103111.59,23.47,Sensor2
102700,103163.18,23.63,Sensor
102700,103110.89,23.46,Sensor2
102700,103163.18,23.63,Sensor
102700,103110.55,23.46,Sensor2
102700,103163.18,23.63,Sensor
102700,103110.55,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103110.23,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103110.06,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103109.89,23.46,Sensor2
102700,103162.84,23.63,Sensor
102700,103109.89,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103109.89,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103109.73,23.46,Sensor2
102700,103163.02,23.63,Sensor
102700,103109.73,23.46,Sensor2
102700,103162.45,23.63,Sensor
102700,103109.56,23.46,Sensor2
102700,103162.13,23.63,Sensor
102700,103109.40,23.46,Sensor2
102700,103161.95,23.63,Sensor
102700,103109.23,23.46,Sensor2
102700,103161.63,23.63,Sensor
102700,103109.23,23.46,Sensor2
102700,103161.63,23.63,Sensor
102700,103109.07,23.46,Sensor2
102700,103161.46,23.63,Sensor
102700,103108.55,23.46,Sensor2
102700,103161.46,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.46,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.30,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.30,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.30,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.30,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.30,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.13,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.13,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103161.13,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103160.97,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103160.80,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103160.64,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103160.47,23.63,Sensor
102700,103108.55,23.46,Sensor2
102700,103160.30,23.63,Sensor
102700,103108.55,23.46,Sensor2
102700,103159.97,23.63,Sensor
102700,103108.55,23.46,Sensor2
102700,103159.97,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103159.80,23.63,Sensor
102700,103108.39,23.46,Sensor2
102700,103159.48,23.63,Sensor
102700,103108.22,23.46,Sensor2
102700,103159.48,23.63,Sensor
102700,103108.06,23.46,Sensor2
102700,103159.48,23.63,Sensor
102700,103107.51,23.46,Sensor2
102700,103159.31,23.63,Sensor
102700,103107.51,23.46,Sensor2
102700,103159.31,23.63,Sensor
102700,103107.34,23.46,Sensor2
102700,103159.14,23.63,Sensor
102700,103107.18,23.46,Sensor2
102700,103158.98,23.63,Sensor
102700,103106.84,23.46,Sensor2
102700,103158.81,23.63,Sensor
102700,103106.84,23.46,Sensor2
102700,103158.65,23.63,Sensor
102700,103106.84,23.46,Sensor2
102700,103158.48,23.63,Sensor
102700,103106.84,23.46,Sensor2
102700,103158.48,23.63,Sensor
102700,103106.69,23.46,Sensor2
102700,103158.09,23.63,Sensor
102700,103106.14,23.46,Sensor2
102700,103157.92,23.63,Sensor
102700,103105.97,23.46,Sensor2
102700,103157.92,23.63,Sensor
102700,103105.64,23.46,Sensor2
102700,103158.09,23.63,Sensor
102700,103106.19,23.46,Sensor2
102700,103158.09,23.63,Sensor
102700,103106.19,23.46,Sensor2
102700,103158.09,23.63,Sensor
102700,103106.19,23.46,Sensor2
102700,103157.92,23.63,Sensor
102700,103105.81,23.46,Sensor2
102700,103157.76,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103157.42,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103157.27,23.63,Sensor
102700,103105.64,23.46,Sensor2
102700,103157.09,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103157.09,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103157.09,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103157.09,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103156.77,23.63,Sensor
102700,103105.64,23.46,Sensor2
102700,103156.77,23.63,Sensor
102700,103106.02,23.46,Sensor2
102700,103156.59,23.63,Sensor
102700,103105.48,23.46,Sensor2
102700,103156.27,23.63,Sensor
102700,103105.48,23.46,Sensor2
102700,103156.27,23.63,Sensor
102700,103105.48,23.46,Sensor2
102700,103156.27,23.63,Sensor
102700,103105.31,23.46,Sensor2
102700,103156.27,23.63,Sensor
